Genome,Sample,KO:K10944,KO:K10945,KO:K10946,KO:K14028,KO:K14029,KO:K16157,KO:K16158,KO:K16159,KO:K16160,KO:K16161,KO:K16162,KO:K23995
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10NFC (3300036874) (MER-FS) (assembled)",10NFC,5,4,3,1,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10PFC (3300036875) (MER-FS) (assembled)",10PFC,1,2,2,2,0,3,1,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 10Pre (3300036989) (MER-FS) (assembled)",10Pre,0,0,1,2,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11NFC (3300036995) (MER-FS) (assembled)",11NFC,1,1,1,1,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11PFC (3300036896) (MER-FS) (assembled)",11PFC,2,2,2,0,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 11Pre (3300036868) (MER-FS) (assembled)",11Pre,5,4,5,0,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12NFC (3300036897) (MER-FS) (assembled)",12NFC,8,6,8,0,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12PFC (3300036898) (MER-FS) (assembled)",12PFC,3,4,4,1,0,1,1,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 12Pre (3300036990) (MER-FS) (assembled)",12Pre,4,3,2,1,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16NFC (3300036899) (MER-FS) (assembled)",16NFC,2,2,3,2,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16PFC (3300036996) (MER-FS) (assembled)",16PFC,0,0,1,0,0,0,1,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 16Pre (3300036991) (MER-FS) (assembled)",16Pre,4,2,2,0,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3NFC (3300036869) (MER-FS) (assembled)",03NFC,2,2,3,1,0,1,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3PFC (3300036870) (MER-FS) (assembled)",03PFC,3,5,4,0,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 3Pre (3300036865) (MER-FS) (assembled)",03Pre,2,2,3,3,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6NFC (3300036871) (MER-FS) (assembled)",06NFC,1,1,3,1,0,0,1,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6PFC (3300036872) (MER-FS) (assembled)",06PFC,1,1,1,0,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 6Pre (3300036988) (MER-FS) (assembled)",06Pre,1,0,2,1,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8NFC (3300036873) (MER-FS) (assembled)",08NFC,4,4,5,1,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8PFC (3300036992) (MER-FS) (assembled)",08PFC,3,2,2,2,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 8Pre (3300036866) (MER-FS) (assembled)",08Pre,8,10,8,3,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9NFC (3300036993) (MER-FS) (assembled)",09NFC,1,1,0,3,0,0,0,0,0,0,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9PFC (3300036994) (MER-FS) (assembled)",09PFC,0,0,4,0,0,1,0,0,0,2,0,0
"Soil microbial communities from coastal freshwater wetland in North Carolina, United States - 9Pre (3300036867) (MER-FS) (assembled)",09Pre,3,3,7,0,0,0,0,0,0,0,0,0
