"","date_short",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","6/28","co2_ppm","N","P",0.0665359497070313,0.067,"0.06654","ns","Wilcoxon"
"2","7/11","co2_ppm","N","P",2.288818359375e-05,9.2e-05,"2.3e-05","****","Wilcoxon"
"3","7/25","co2_ppm","N","P",0.0008392333984375,0.0025,"0.00084","***","Wilcoxon"
"4","8/11","co2_ppm","N","P",0.0182342529296875,0.036,"0.01823","*","Wilcoxon"
