"","chamber","time","history","treatment","plant","g.soil.kcl","nh4.mg.l","no2.no3.mg.l","c.percent","n.percent","plant.c.percent","plant.n.percent","redox.percent.paint.removed","moisture.percent","plant.dry.mass.g","P.ppm","K.ppm","Mg.ppm","Ca.ppm","pH","S.ppm","B.ppm","Zn.ppm","Mn.ppm","Fe.ppm","Cu.ppm","HM.","HM","CEC.","CEC"
"28","14PC","Finish","I","Interim","Plant",NA,0.193,NA,5.1,0.25,44.36,1.57,0,0.1145,4.99,17,28,78.5,635,5.5,12,0.2,1.4,4,239,0.7,2.38,0.0238,7.1,0.071
"29","15NC","Finish","D","Interim","No Plant",NA,0.192,NA,4.9,0.25,NA,NA,0,0.1176,NA,20,27.5,77.5,673,5.4,11.5,0.3,1.9,4.5,278,0.4,2.01,0.0201,6.5,0.065
"30","15PC","Finish","D","Interim","Plant",NA,0.187,NA,4.56,0.23,43.13,0.81,0,0.1288,6.45,19,25,80.5,703.5,5.3,12.5,0.2,1.8,5,277,0.5,2.37,0.0237,7.9,0.079
"31","16NC","Finish","D","Dry","No Plant",NA,0.422,0.158,5.77,0.28,NA,NA,0,0.1141,NA,19.5,32.5,89,712,5.2,18,0.2,1.9,5,273,0.5,2.36,0.0236,8.2,0.082
"32","16PC","Finish","D","Dry","Plant",NA,0.316,NA,5.94,0.28,43.17,1.75,0,0.2085,8.28,16.5,22.5,84,684.5,5.2,17.5,0.2,1.4,3.5,265,0.3,2.33,0.0233,8,0.08
"33","17NC","Finish","I","Wet","No Plant",NA,2.02,NA,4.42,0.21,NA,NA,0.3868,0.1498,NA,23.5,39,76.5,603,5.6,11.5,0.3,1.9,6.5,321,0.7,2.68,0.0268,5.6,0.056
"34","17PC","Finish","I","Wet","Plant",NA,0.153,NA,4.1,0.21,42.45,0.93,0.4917,0.6683,1.27,20.5,22,65.5,544.5,5.4,10.5,0.3,1.7,6.5,307,0.8,2.79,0.0279,6.9,0.069
"35","18NC","Finish","I","Dry","No Plant",NA,0.395,NA,4.69,0.23,NA,NA,0,0.5581,NA,23,28,77.5,630,5.5,14,0.3,2.2,4,251,0.7,2.32,0.0232,5.5,0.055
"36","18PC","Finish","I","Dry","Plant",NA,0.218,NA,4.68,0.22,41.37,1.5,0,0.1633,2.22,20.5,24,64.5,621,5.4,12.5,0.2,1.2,3,239,0.6,2.08,0.0208,6.5,0.065
"37","01NS","Start","D","Interim","No Plant",NA,0.329,0.512,NA,NA,NA,NA,0.1458,0.1353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","01PS","Start","D","Interim","Plant",NA,0.198,0.124,NA,NA,NA,NA,0.3032,0.2479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","02NS","Start","W","Interim","No Plant",NA,1.249,0.052,NA,NA,NA,NA,0.6358,0.5705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","02PS","Start","W","Interim","Plant",NA,0.242,0.042,NA,NA,NA,NA,0.5646,0.4055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","03NS","Start","D","Wet","No Plant",NA,0.272,0.038,NA,NA,NA,NA,0.2372,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","03PS","Start","D","Wet","Plant",NA,0.315,0.061,NA,NA,NA,NA,0.2754,0.1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","04NS","Start","I","Dry","No Plant",NA,0.8,0.065,NA,NA,NA,NA,0.1708,0.7689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","04PS","Start","I","Dry","Plant",NA,0.355,0.034,NA,NA,NA,NA,0.0935,0.1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","05NS","Start","I","Wet","No Plant",NA,0.458,0.024,NA,NA,NA,NA,0.4934,0.2828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","05PS","Start","I","Wet","Plant",NA,0.451,0.032,NA,NA,NA,NA,0.495,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","06NS","Start","W","Wet","No Plant",NA,1.453,0.09,NA,NA,NA,NA,0.5394,0.3289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","06PS","Start","W","Wet","Plant",NA,0.524,0.026,NA,NA,NA,NA,0.5951,0.3428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","07NS","Start","I","Interim","No Plant",NA,0.772,0.025,NA,NA,NA,NA,0.3466,0.5196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","07PS","Start","I","Interim","Plant",NA,0.136,NA,NA,NA,NA,NA,0.3901,0.1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","08NS","Start","D","Wet","No Plant",NA,0.282,0.227,NA,NA,NA,NA,0.0868,0.1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","08PS","Start","D","Wet","Plant",NA,0.095,NA,NA,NA,NA,NA,0.4949,0.2101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","09NS","Start","W","Wet","No Plant",NA,0.881,0.048,NA,NA,NA,NA,0.6933,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","09PS","Start","W","Wet","Plant",NA,0.296,0.013,NA,NA,NA,NA,0.4001,0.2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","10NS","Start","W","Dry","No Plant",NA,1.75,0.02,NA,NA,NA,NA,0.2278,0.2242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","10PS","Start","W","Dry","Plant",NA,0.229,NA,NA,NA,NA,NA,0.1632,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","11NS","Start","D","Dry","No Plant",NA,0.36,0.313,NA,NA,NA,NA,0,0.2312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","11PS","Start","D","Dry","Plant",NA,0.273,0.048,NA,NA,NA,NA,0,0.2167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","12NS","Start","W","Dry","No Plant",NA,1.368,0.021,NA,NA,NA,NA,0.4278,0.1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","12PS","Start","W","Dry","Plant",NA,0.398,0.011,NA,NA,NA,NA,0.5059,0.3656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","13NS","Start","W","Interim","No Plant",NA,1.166,NA,NA,NA,NA,NA,0.5983,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","13PS","Start","W","Interim","Plant",NA,0.767,0.008,NA,NA,NA,NA,0.5922,0.2714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","14NS","Start","I","Interim","No Plant",NA,0.375,NA,NA,NA,NA,NA,0.4348,0.1558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","14PS","Start","I","Interim","Plant",NA,0.261,0.038,NA,NA,NA,NA,0.353,0.1511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","15NS","Start","D","Interim","No Plant",NA,0.248,0.096,NA,NA,NA,NA,0.3572,0.1333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","15PS","Start","D","Interim","Plant",NA,0.343,0.055,NA,NA,NA,NA,0.2548,0.1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","16NS","Start","D","Dry","No Plant",NA,0.3,0.36,NA,NA,NA,NA,0.0024,0.2483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","16PS","Start","D","Dry","Plant",NA,0.424,0.041,NA,NA,NA,NA,0,0.2113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","17NS","Start","I","Wet","No Plant",NA,1.153,0.014,NA,NA,NA,NA,0.3706,0.2904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","17PS","Start","I","Wet","Plant",NA,0.398,NA,NA,NA,NA,NA,0.3101,0.2692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","18NS","Start","I","Dry","No Plant",NA,1.053,NA,NA,NA,NA,NA,0.3417,0.2531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","18PS","Start","I","Dry","Plant",NA,0.385,NA,NA,NA,NA,NA,0.2626,0.1531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
