Date,Time,Chamber,Day,History,Treatment,plant,TP,AvgTemp,gCH4,gCO2,gN2O,moisture
6/28/2016,End,13P,D,W,I,P,IP,28.65,4197.30833,-3195.589863,-3.294020474,14
6/28/2016,End,14N,D,I,I,N,IN,27.3,-4.527446317,-14889.88418,-35.51951205,11.4
6/28/2016,End,14P,D,I,I,P,IP,27.45,1481.855488,-6619.140796,-4.492349321,11.5
6/28/2016,End,15N,D,D,I,N,IN,27.65,15.00064122,30042.93693,-35.50304509,13.2
6/28/2016,End,15P,D,D,I,P,IP,28.1,179.3945192,-3099.896405,-4.242258848,11.9
6/28/2016,End,16N,D,D,D,N,WN,30,-2.226935116,46737.29405,-28.37242094,10.75
6/28/2016,End,16P,D,D,D,P,WP,28.8,14.80089454,-5339.444207,-3.948625152,8.35
6/28/2016,End,17N,D,I,W,N,WN,27.95,412.2227298,9577.176468,-32.61932527,12.75
6/28/2016,End,17P,D,I,W,P,WP,28.95,240.3372034,-4057.18489,-3.325107538,14.85
6/28/2016,End,18N,D,I,D,N,DN,29.6,-1.278599781,93410.83565,-3.832965574,9.05
6/28/2016,End,18P,D,I,D,P,DN,28.9,12.85342146,9729.339617,-1.293744645,7.1
7/11/2016,End,1N,D,D,I,N,IN,27.7,-23.14371563,54504.1145,-14.98496864,8.9
7/11/2016,End,1P,D,D,I,P,IP,27.3,-1.027684252,702.6853381,-16.43932016,0.7
7/11/2016,End,2N,D,W,I,N,IN,27.8,7.06263025,75315.42,-26.68298581,5.6
7/11/2016,End,2P,D,W,I,P,IP,27.75,19.50574846,-3455.65257,-15.79496909,6.5
7/11/2016,End,3N,D,D,W,N,WN,27.4,1601.574847,-12549.89151,-52.32725698,15.75
7/11/2016,End,3P,D,D,W,P,WP,28.65,532.3133681,-3613.941235,-20.63726837,16.45
7/11/2016,End,4N,D,I,D,N,DN,27.65,-15.33076676,66027.70039,-24.27971959,3.65
7/11/2016,End,4P,D,I,D,P,DP,28.15,4.941685372,-5068.993233,-16.36245628,2.9
7/11/2016,End,5N,D,I,W,N,WN,27.55,21416.74341,-6285.914974,-308.1028825,15.7
7/11/2016,End,5P,D,I,W,P,WP,27.75,1002.510885,-7433.871748,-19.55497839,10.35
7/11/2016,End,6N,D,W,W,N,WN,27.8,12380.91833,3769.732349,-56.86140026,12.55
7/11/2016,End,6P,D,W,W,P,WP,27.15,143.0956302,-8107.743852,-18.23830605,10.35
7/11/2016,End,7N,D,I,I,N,IN,28.7,-17.87878455,55122.69662,3.105540404,3.7
7/11/2016,End,7P,D,I,I,P,IP,28.85,8.026625269,-1296.346167,-10.04894328,0
7/11/2016,End,8N,D,D,W,N,DN,27.85,179.6315654,-6978.8125,-13.54507255,14.95
7/11/2016,End,8P,D,D,W,P,DP,27.55,226.3691505,-6514.972273,-10.8105943,15.1
7/11/2016,End,9N,D,W,W,N,WN,27.65,69538.76812,15171.72491,-46.88110426,13.6
7/11/2016,End,9P,D,W,W,P,WP,28.25,-0.892188563,-3043.436051,-7.397768736,10.45
7/11/2016,End,10N,D,W,D,N,DN,28.7,-11.22047605,61883.96103,-14.32025198,0.4
7/11/2016,End,10P,D,W,D,P,DP,28.35,1.854268845,-2673.024742,-10.52804012,0.45
7/11/2016,End,11N,D,D,D,N,DN,27.6,-13.1499297,65649.77845,-15.63091337,8.3
7/11/2016,End,11P,D,D,D,P,DP,27.85,3.881425896,-4213.084061,-8.581665292,2.7
7/11/2016,End,12N,D,W,D,N,DN,28.95,-9.738378906,110302.5235,-11.03840801,6.7
7/11/2016,End,12P,D,W,D,P,DP,28.6,3.396731426,-3509.287597,-8.178886868,7.55
7/11/2016,End,13N,D,W,I,N,IN,29.25,135.6767203,56584.89961,-23.04137706,8.65
7/11/2016,End,13P,D,W,I,P,IP,29.7,63.9210083,-4300.612455,-7.349785732,0
7/11/2016,End,14N,D,I,I,N,IN,27.25,-13.74242768,29796.70813,-16.78498454,4.4
7/11/2016,End,14P,D,I,I,P,IP,28.25,3.890900747,-1328.484312,-9.267105892,0.3
7/11/2016,End,15N,D,D,I,N,IN,28.65,-3.200266412,71821.79511,-26.95065985,8.05
7/11/2016,End,15P,D,D,I,P,IP,28.55,7.751841561,-5204.995108,-9.420400575,2.55
7/11/2016,End,16N,D,D,D,N,WN,29.4,-14.28790371,94206.04717,-49.09148189,9.05
7/11/2016,End,16P,D,D,D,P,WP,29.85,-3.077082582,1726.969245,-10.23533796,2
7/11/2016,End,17N,D,I,W,N,WN,27.7,3006.715094,4014.452403,-46.72328206,13.6
7/11/2016,End,17P,D,I,W,P,WP,28.15,228.7143994,70.24131149,-13.90560901,15
7/11/2016,End,18N,D,I,D,N,DN,29.8,-2.133347917,116666.0624,-12.48709736,7.6
7/11/2016,End,18P,D,I,D,P,DN,29.7,-2.746509878,-8484.128018,-13.12234629,1.85
7/25/2016,End,1N,D,D,I,N,IN,28.15,-24.81034221,-9217.009881,-114.6073157,14.8
7/25/2016,End,1P,D,D,I,P,IP,28.4,1018.683821,-5212.997018,-30.01751466,15.3
7/25/2016,End,2N,D,W,I,N,IN,28.75,26.74974971,14169.79506,-22.06975042,14.2
7/25/2016,End,2P,D,W,I,P,IP,29.6,1656.239909,-7074.688044,-15.05738396,10.45
